sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-046,C2,edge_acl_config,1.0,1.0,0.0,1.0,,1.2043,1051,154
B3-047,C2,operator_history_config,1.0,1.0,0.0,1.0,,1.2856,1065,126
B3-048,C2,operator_history_config,1.0,1.0,0.0,1.0,,1.3011,1082,150
B3-049,C2,rag_doc_config,1.0,1.0,0.0,1.0,,1.2211,1089,160
B3-050,C2,rag_doc_config,0.4,0.0,0.0,1.0,,1.3152,1132,127
B3-001,C3,firewall_config,1.0,1.0,0.0,1.0,,1.8138,1077,126
B3-002,C3,firewall_config,1.0,1.0,0.0,1.0,,2.0225,1067,149
B3-003,C3,firewall_config,0.75,1.0,0.0,1.0,,1.6112,1131,123
B3-004,C3,firewall_config,0.8333,1.0,0.0,1.0,,1.3179,1065,146
B3-005,C3,firewall_config,1.0,1.0,0.0,1.0,,1.409,1077,141
B3-006,C3,firewall_config,1.0,1.0,0.0,1.0,,1.5139,1095,149
B3-007,C3,firewall_config,0.75,1.0,0.0,1.0,,1.3849,1141,119
B3-008,C3,firewall_config,0.75,1.0,0.0,1.0,,1.162,1084,138
B3-009,C3,firewall_config,1.0,1.0,0.0,1.0,,1.1919,1064,128
B3-010,C3,firewall_config,1.0,1.0,0.0,1.0,,2.0509,1085,161
B3-011,C3,qos_config,1.0,1.0,0.0,1.0,,2.2993,1091,127
B3-012,C3,qos_config,0.8,1.0,0.0,1.0,,1.2977,1088,133
B3-013,C3,qos_config,0.75,1.0,0.0,1.0,,1.6756,1127,126
B3-014,C3,qos_config,0.8333,1.0,0.0,1.0,,1.3835,1069,135
B3-015,C3,qos_config,1.0,1.0,0.0,1.0,,1.1111,1084,116
B3-016,C3,qos_config,0.6,1.0,0.0,1.0,,1.1761,1077,134
B3-017,C3,qos_config,1.0,1.0,0.0,1.0,,4.4031,1072,121
B3-018,C3,qos_config,0.75,1.0,0.0,1.0,,1.3454,1111,123
B3-019,C3,qos_config,0.8,1.0,0.0,1.0,,1.1673,1086,128
